Date,Open,High,Low,Close,Adj Close,Volume
10/22/2018,7486.740234,7520.540039,7424.740234,7468.629883,7468.629883,2282400000
10/23/2018,7328.549805,7472.580078,7260.129883,7437.540039,7437.540039,2735820000
10/24/2018,7423.209961,7435.689941,7099,7108.399902,7108.399902,2935550000
10/25/2018,7197.490234,7364.819824,7178.540039,7318.339844,7318.339844,2741810000
10/26/2018,7125.180176,7283.319824,7057,7167.209961,7167.209961,2964780000
10/29/2018,7272.419922,7295.609863,6922.830078,7050.290039,7050.290039,2689550000
10/30/2018,7017.870117,7166.839844,7001.47998,7161.649902,7161.649902,2681310000
10/31/2018,7276.620117,7368.490234,7270.629883,7305.899902,7305.899902,2899730000
11/1/2018,7327.819824,7435.879883,7286.5,7434.060059,7434.060059,2708880000
11/2/2018,7424.02002,7466.529785,7298.680176,7356.990234,7356.990234,2889910000
11/5/2018,7344.080078,7349.22998,7255.879883,7328.850098,7328.850098,2166470000
11/6/2018,7326.069824,7400.640137,7320.890137,7375.959961,7375.959961,2285680000
11/7/2018,7446.089844,7572.930176,7435.870117,7570.75,7570.75,2677530000
11/8/2018,7544.169922,7566.930176,7499.709961,7530.879883,7530.879883,2462430000
11/9/2018,7468.509766,7474.339844,7349.47998,7406.899902,7406.899902,2418490000
11/12/2018,7364.049805,7371.089844,7193.77002,7200.870117,7200.870117,2289070000
11/13/2018,7230.689941,7319.120117,7182.859863,7200.870117,7200.870117,2343940000
11/14/2018,7265.390137,7285.569824,7101.169922,7136.390137,7136.390137,2540220000
11/15/2018,7112.830078,7274.259766,7072.359863,7259.029785,7259.029785,2508720000
11/16/2018,7193.600098,7274.859863,7171.700195,7247.870117,7247.870117,2438260000
11/19/2018,7217.240234,7224.120117,7011.399902,7028.47998,7028.47998,2354020000
11/20/2018,6867.430176,6994.75,6830.759766,6908.819824,6908.819824,2664950000
11/21/2018,6985.509766,7029.930176,6951.620117,6972.25,6972.25,1858050000
11/23/2018,6919.52002,6987.890137,6919.160156,6938.97998,6938.97998,958950000
11/26/2018,7026.5,7083.930176,7003.120117,7081.850098,7081.850098,2011180000
11/27/2018,7041.22998,7105.140137,7014.359863,7082.700195,7082.700195,2067360000
11/28/2018,7135.080078,7292.709961,7090.97998,7291.589844,7291.589844,2390260000
11/29/2018,7267.370117,7319.959961,7217.689941,7273.080078,7273.080078,1983460000
11/30/2018,7279.299805,7332.790039,7255.680176,7330.540039,7330.540039,2542820000
12/3/2018,7486.129883,7486.509766,7392.220215,7441.509766,7441.509766,2621020000
12/4/2018,7407.950195,7421.109863,7150.109863,7158.430176,7158.430176,2635810000
12/6/2018,7017.049805,7189.52002,6984.339844,7188.259766,7188.259766,2833870000
12/7/2018,7163.490234,7205.370117,6945.27002,6969.25,6969.25,2475160000
12/10/2018,6959.629883,7047.620117,6878.990234,7020.52002,7020.52002,2367560000
12/11/2018,7121.660156,7129.830078,6983.009766,7031.830078,7031.830078,2246060000
12/12/2018,7127,7197.290039,7096.560059,7098.310059,7098.310059,2412300000
12/13/2018,7135.279785,7154.640137,7034.819824,7070.330078,7070.330078,2143520000
12/14/2018,6986.370117,7027.169922,6898.990234,6910.660156,6910.660156,2200510000
12/17/2018,6886.459961,6931.810059,6710.009766,6753.72998,6753.72998,2665240000
12/18/2018,6809.819824,6847.27002,6733.709961,6783.910156,6783.910156,2595400000
12/19/2018,6777.589844,6868.859863,6586.5,6636.830078,6636.830078,2899950000
12/20/2018,6607.759766,6666.200195,6447.910156,6528.410156,6528.410156,3258090000
12/21/2018,6573.490234,6586.680176,6304.629883,6332.990234,6332.990234,4534120000
12/24/2018,6278.490234,6355.180176,6190.169922,6192.919922,6192.919922,1647270000
12/26/2018,6257.859863,6555.529785,6214.339844,6554.359863,6554.359863,2558940000
12/27/2018,6457.189941,6583.009766,6336.970215,6579.490234,6579.490234,2415870000
12/28/2018,6616.790039,6684.180176,6529.220215,6584.52002,6584.52002,2199090000
12/31/2018,6649.52002,6659.959961,6570.060059,6635.279785,6635.279785,2098560000
1/2/2019,6506.910156,6693.709961,6506.879883,6665.939941,6665.939941,2261800000
1/3/2019,6584.77002,6600.209961,6457.129883,6463.5,6463.5,2607290000
1/4/2019,6567.140137,6760.689941,6554.240234,6738.859863,6738.859863,2579550000
1/7/2019,6757.529785,6855.600098,6741.399902,6823.470215,6823.470215,2507550000
1/8/2019,6893.439941,6909.580078,6795.859863,6897,6897,2380290000
1/9/2019,6923.060059,6985.220215,6899.560059,6957.080078,6957.080078,2422590000
1/10/2019,6908.649902,6991.370117,6877.080078,6986.069824,6986.069824,2179080000
1/11/2019,6947.459961,6975.649902,6933.600098,6971.47998,6971.47998,2066500000
1/14/2019,6908.029785,6936.220215,6887.47998,6905.919922,6905.919922,1942210000
1/15/2019,6931.390137,7025.850098,6928.120117,7023.830078,7023.830078,2038090000
1/16/2019,7033.75,7079.629883,7028.120117,7034.689941,7034.689941,2149580000
1/17/2019,7010.129883,7113.950195,7003.620117,7084.459961,7084.459961,2128840000
1/18/2019,7134.100098,7185.379883,7096.620117,7157.22998,7157.22998,2451240000
1/22/2019,7109.569824,7110.160156,6979.810059,7020.359863,7020.359863,2380950000
1/23/2019,7061.649902,7084.850098,6953.22998,7025.77002,7025.77002,2274420000
1/24/2019,7042.25,7078.959961,7029.950195,7073.459961,7073.459961,2400290000
1/25/2019,7128.180176,7174.560059,7111.089844,7164.859863,7164.859863,2440840000
1/28/2019,7075.009766,7086.299805,7034.25,7085.680176,7085.680176,2435480000
1/29/2019,7087.490234,7092.290039,7011.470215,7028.290039,7028.290039,2089690000
1/30/2019,7094.790039,7201.310059,7065.569824,7183.080078,7183.080078,2544050000
1/31/2019,7208.169922,7303.120117,7205.950195,7281.740234,7281.740234,2918710000
2/1/2019,7256.370117,7299.939941,7243.410156,7263.870117,7263.870117,2383430000
2/4/2019,7266.279785,7348.22998,7261.069824,7347.540039,7347.540039,2099470000
2/5/2019,7356.339844,7408.680176,7355.359863,7402.080078,7402.080078,2265520000
2/6/2019,7400.439941,7410.77002,7346.720215,7375.279785,7375.279785,2167130000
2/7/2019,7316.5,7336.740234,7235.049805,7288.350098,7288.350098,2295080000
2/8/2019,7232.299805,7299.439941,7225.140137,7298.200195,7298.200195,2086260000
2/11/2019,7327.370117,7343.560059,7290.029785,7307.899902,7307.899902,1897800000
2/12/2019,7358.850098,7419.430176,7349.799805,7414.620117,7414.620117,2124330000
2/13/2019,7437.459961,7461.660156,7413.839844,7420.379883,7420.379883,2093800000
2/14/2019,7390.25,7454.419922,7375.709961,7426.950195,7426.950195,2103370000
2/15/2019,7468.569824,7477.279785,7440.259766,7472.410156,7472.410156,2257750000
2/19/2019,7450.75,7507.790039,7450.27002,7486.77002,7486.77002,2120790000
2/20/2019,7490.310059,7513.700195,7455.25,7489.069824,7489.069824,2181760000
2/21/2019,7475.410156,7485.75,7430.890137,7459.709961,7459.709961,2119080000
2/22/2019,7481.629883,7527.540039,7479.009766,7527.540039,7527.540039,2417680000
2/25/2019,7585.299805,7602.689941,7551.609863,7554.459961,7554.459961,2363140000
2/26/2019,7535.290039,7573.220215,7524.310059,7549.299805,7549.299805,2257710000
2/27/2019,7526.419922,7562.290039,7485.390137,7554.509766,7554.509766,2423360000
2/28/2019,7533.310059,7561.899902,7516.47998,7532.529785,7532.529785,2647080000
3/1/2019,7587.450195,7603.040039,7540.75,7595.350098,7595.350098,2463190000
3/4/2019,7636.620117,7643.660156,7501.560059,7577.569824,7577.569824,2569590000
3/5/2019,7582.290039,7598.660156,7543.540039,7576.359863,7576.359863,2142610000
3/6/2019,7575.379883,7579.02002,7499.870117,7505.919922,7505.919922,2242810000
3/7/2019,7483.790039,7489.080078,7397.189941,7421.459961,7421.459961,2440840000
3/8/2019,7334.350098,7411.52002,7332.919922,7408.140137,7408.140137,2245430000
3/11/2019,7442.560059,7558.22998,7442.399902,7558.060059,7558.060059,2226950000
3/12/2019,7571.850098,7611.129883,7560.459961,7591.029785,7591.029785,2161400000
3/13/2019,7621.379883,7677.069824,7619.459961,7643.410156,7643.410156,2366350000
3/14/2019,7644.790039,7653.100098,7627.02002,7630.910156,7630.910156,2176510000
3/15/2019,7658.410156,7714.959961,7652.040039,7688.529785,7688.529785,3447190000
3/18/2019,7696.379883,7737.669922,7677.740234,7714.47998,7714.47998,2274490000
3/19/2019,7747.399902,7767.890137,7699.149902,7723.950195,7723.950195,2433160000
3/20/2019,7721.950195,7779.240234,7674.040039,7728.970215,7728.970215,2424400000
3/21/2019,7705.430176,7850.109863,7705.430176,7838.959961,7838.959961,2483580000
3/22/2019,7800.25,7817.830078,7642.569824,7642.669922,7642.669922,2490730000
3/25/2019,7618.97998,7662.379883,7579.290039,7637.540039,7637.540039,2130230000
3/26/2019,7700,7738.169922,7649.209961,7691.52002,7691.52002,2068900000
3/27/2019,7702.049805,7712.839844,7582.089844,7643.379883,7643.379883,2221650000
3/28/2019,7660.069824,7689.160156,7619.819824,7669.169922,7669.169922,1902060000
3/29/2019,7726.709961,7733.620117,7688.509766,7729.319824,7729.319824,2233470000
4/1/2019,7800.240234,7831.450195,7777.089844,7828.910156,7828.910156,2198050000
4/2/2019,7824.609863,7854.919922,7811.279785,7848.689941,7848.689941,2110100000
4/3/2019,7891.180176,7938.259766,7870.899902,7895.549805,7895.549805,2487210000
4/4/2019,7894.259766,7917.649902,7844.959961,7891.779785,7891.779785,2094200000
4/5/2019,7914.509766,7940.450195,7909.140137,7938.689941,7938.689941,2148730000
4/8/2019,7924.890137,7955.899902,7891.850098,7953.879883,7953.879883,2069190000
4/9/2019,7924.77002,7945.549805,7897.609863,7909.279785,7909.279785,2067570000
4/10/2019,7922.72998,7965.330078,7916.899902,7964.240234,7964.240234,1998280000
4/11/2019,7975.200195,7975.200195,7933.410156,7947.359863,7947.359863,1956840000
4/12/2019,7984.149902,7992.089844,7952.609863,7984.160156,7984.160156,1955290000
4/15/2019,7987.160156,7993.330078,7933.569824,7976.009766,7976.009766,1816920000
4/16/2019,8000.569824,8017.560059,7978.810059,8000.22998,8000.22998,2095330000
4/17/2019,8044.970215,8052.399902,7973.379883,7996.080078,7996.080078,2290690000
4/18/2019,7998.450195,8002.310059,7950.970215,7998.060059,7998.060059,2089360000
4/22/2019,7969.370117,8017.149902,7965.899902,8015.27002,8015.27002,1776060000
4/23/2019,8026.75,8128.870117,8023.810059,8120.819824,8120.819824,2075070000
4/24/2019,8122.879883,8139.549805,8101.700195,8102.009766,8102.009766,2022490000
4/25/2019,8150.850098,8151.839844,8075.410156,8118.680176,8118.680176,2063270000
4/26/2019,8100.279785,8146.419922,8060.890137,8146.399902,8146.399902,1971270000
4/29/2019,8147.649902,8176.080078,8136.410156,8161.850098,8161.850098,1761110000
4/30/2019,8104.910156,8124.609863,8050.549805,8095.390137,8095.390137,2115770000
5/1/2019,8132.930176,8146,8048.22998,8049.640137,8049.640137,2247420000
5/2/2019,8046.47998,8094.060059,7976.77002,8036.77002,8036.77002,2158600000
